DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,THREAD NO.,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,3,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000226,90,
13/09/2019,00:44:00,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,4,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000359,36,
13/09/2019,00:44:00,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,3,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000359,35,
13/09/2019,00:44:02,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,5,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,1,00:00:00.0000250,3,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,1,7,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,2,00:00:00.0000217,10,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,7,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,2,00:00:00.0000420,7,
13/09/2019,00:43:57,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 9,Board combination missed,-1001,2,2,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000387,12,
13/09/2019,00:43:59,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,6,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000212,23,
13/09/2019,00:44:01,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,6,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000415,24,
13/09/2019,00:44:01,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],FAIL,Board 10,Board combination missed,-1001,1,7,X,Minimax_TPL.GameBoard_TPL`1[Minimax_TPL.counters],Minimax_TPL.GameBoard_TPL`1[System.Int32],0,3,00:00:00.0000241,9,
